"tema","num_tema_cadastrado"
"Definir o âmbito de aplicação do artigo 112 da Lei 8.213/91;
Definir se o artigo 112 da Lei 8.213/91 versa sobre hipótese de sucessão processual, na forma do artigo 110 do CPC (""Art. 110. Ocorrendo a morte de qualquer das partes, dar-se-á a sucessão pelo seu espólio ou pelos seus sucessores, observado o disposto no art. 313, §§ 1º e 2º"");
Não sendo hipótese de sucessão processual: a) definir se os pensionistas possuem direito de pleitear, em nome próprio, valores não recebidos em vida pelo falecido segurado; b) definir se, na ausência dos pensionistas, os herdeiros e/ou espólio possuem direito de pleitear, em nome próprio, parcelas não recebidas em vida pelo falecido segurado;
Definir em que consiste ""o valor não recebido em vida pelo segurado"" mencionado no artigo 112 da Lei 8.213/91, isto é, se se tratam de importâncias não recebidas em vida pelo de cujus, mas já integradas ao seu patrimônio (por exemplo: indeferimento de requerimento administrativo de concessão/revisão de benefício e cancelamento indevido de benefício) ou simplesmente qualquer pagamento a menor relativo ao benefício previdenciário do falecido e que não foi reclamado administrativa ou judicialmente por ele em vida.",1
"Definir o âmbito de aplicação do artigo 112 da Lei 8.213/91;

Definir se o artigo 112 da Lei 8.213/91 versa sobre hipótese de sucessão processual, na forma do artigo 110 do CPC (""Art. 110. Ocorrendo a morte de qualquer das partes, dar-se-á a sucessão pelo seu espólio ou pelos seus sucessores, observado o disposto no art. 313, §§ 1º e 2º"");

Não sendo hipótese de sucessão processual: a) definir se os pensionistas possuem direito de pleitear, em nome próprio, valores não recebidos em vida pelo falecido segurado; b) definir se, na ausência dos pensionistas, os herdeiros e/ou espólio possuem direito de pleitear, em nome próprio, parcelas não recebidas em vida pelo falecido segurado;

Definir em que consiste ""o valor não recebido em vida pelo segurado"" mencionado no artigo 112 da Lei 8.213/91, isto é, se se tratam de importâncias não recebidas em vida pelo de cujus, mas já integradas ao seu patrimônio (por exemplo: indeferimento de requerimento administrativo de concessão/revisão de benefício e cancelamento indevido de benefício) ou simplesmente qualquer pagamento a menor relativo ao benefício previdenciário do falecido e que não foi reclamado administrativa ou judicialmente por ele em vida.",1
"Definir a respeito da dispensa ou não do reexame necessário nas sentenças ilíquidas, cujo proveito econômico possua contornos de liquidez, nos casos em que a quantia é aferível por simples cálculos aritméticos e não alcança o valor de mil salários mínimos, nas causas previdenciárias e nas demais causas, tudo à luz das disposições do artigo 496 do Novo Código de Processo Civil.

Definir a respeito da subsistência ou não da Súmula 490 e do Tema 17, diante do advento do Novo Código de Processo Civil.",3
"Definir a respeito da possibilidade de, na fase cognitiva, o título executivo judicial reconhecer o direito de o segurado do Regime Geral de Previdência Social receber parcelas pretéritas de aposentadoria concedida no respectivo título até a data inicial de aposentadoria concedida
administrativamente pelo INSS enquanto pendente a mesma ação judicial, havendo implantação administrativa definitiva dessa última, sob o enfoque do artigo 18, § 2º, da Lei 8.213/1991.

Definir se a sistemática do Tema 1.018 se aplica aos processos que se encontrem em fase de conhecimento para fins de aplicação dos procedimentos do artigo 1.030 do CPC.",4
"Definir se a regra prevista no §13 do art. 9º, da Lei nº 12.546/2011 é dirigida apenas aos contribuintes ou se também vincula a Administração Tributária; 

Definir se a revogação da opção de tributação da contribuição previdenciária pelo sistema da Contribuição Previdenciária sobre Receita Bruta (CPRB) trazida pela Lei 13.670/2018 feriu direito do contribuinte ante o caráter irretratável previsto no §13 do art. 9º da Lei nº 12.546/2011.",5
"Definir se a pensão militar por morte instituída nos termos da Lei n.º 3765/60 tem natureza remuneratória. Definir se as pensionistas do art. 7º da Lei n.º 3765/60 (redação original) se enquadram no conceito de dependente previsto no art. 50, IV, alínea ""e"", e parágrafos 2º, 3º e 4º (redação original) da Lei n.º 6880/80, para fins de percepção do benefício de assistência Médico-Hospitalar e inclusão como beneficiárias do Fundo de Saúde da Aeronáutica.",6
"Definir se é possível ao magistrado fixar critérios objetivos para a análise, na forma do art. 99, §2º, do CPC, dos pressupostos necessários à concessão de justiça gratuita, ou se o exame deve ser feito com base no cotejo dos elementos concretos trazidos aos autos; E, caso seja possível a utilização de critérios objetivos no exame da hipossuficiência, se a Resolução nº 85/2014 do Conselho Superior da Defensoria Pública da União, que adota a renda mensal de 03 salários mínimos como limite máximo apto a gerar presunção de pessoa economicamente necessitada, é parâmetro idôneo a ser utilizado.",7
"Definir a respeito da subsistência das contribuições sociais gerais e de intervenção no domínio econômico (por exemplo: SESI, SENAI, SESC, SENAC, SEST, SENAT e salário-educação) - distintas das contribuições destinadas ao INCRA e ao SEBRAE tratadas nos Temas 325 e 495 do STF -, após o advento da Emenda Constitucional nº 33/2001, que deu nova redação ao art. 149, § 2º, III, ""a"", da CF/88.

Definir se a sistemática dos Temas 325 (""Indicação de bases econômicas para delimitação da competência relativa à instituição de contribuições sociais e de intervenção no domínio econômico, após o advento da Emenda Constitucional nº 33/2001"") e 495 (""Referibilidade e natureza jurídica da contribuição para o INCRA, em face da Emenda Constitucional nº 33/2001"") se aplica às demais contribuições sociais gerais e de intervenção no domínio econômico para fins de aplicação dos procedimentos do artigo 1.030 do CPC.",8
"Definir se a técnica de julgamento ampliado prevista no artigo 942 do CPC/15 deve ser aplicada sempre que o resultado do julgamento do recurso for não unânime, sendo prescindível a reforma da sentença",9
"Definir se é cabível a fixação de honorários advocatícios nas ações objetivando o cumprimento de decisão condenatória proferida em ação coletiva, quando a
parte executada não é a Fazenda Pública (ou a ela não se equipara), independentemente de ter sido ou não apresentada impugnação.",10
"Definir qual o efeito da edição do Memorando Circular Conjunto nº 37/DIRBEN/PFE/INSS na fixação do termo a quo da contagem da prescrição da pretensão de cumprimento da sentença proferida na Ação Civil Pública nº 0533987-93.2003.04.02.5101.

Uma vez estabelecido que  o referido ato administrativo configurou cumprimento da obrigação de fazer e, nos termos do artigo 4º do Decreto nº 20.910/1932, obstou a fluência do prazo prescricional, definir se o prazo prescricional teve início com a edição do memorando ou com a sua juntada aos autos. 

E, caso seja entendido que o citado ato administrativo importou em interrupção da prescrição, definir se o prazo prescricional retomou a sua contagem pela metade ou de forma integral.",11
"Definir se a liquidação prévia do julgado é requisito indispensável para o ajuizamento de ação objetivando o cumprimento de sentença condenatória genérica proferida em demanda coletiva, de modo que sua ausência acarreta a extinção da ação executiva, ou se o exame quanto ao prosseguimento da ação executiva deve ser feito pelo Magistrado com base no cotejo dos elementos concretos trazidos aos autos.",12
"Definir se os efeitos da decisão condenatória transitada em julgado na ação de rito ordinário autuada sob o nº 0012042-29.2011.4.02.5101, ajuizada pela SINDSPREV/RJ em face da União Federal, Ministério da Saúde, da Delegacia Regional do Trabalho e do Ministério da Previdência Social, alcançam, igualmente, os servidores e/ou pensionistas vinculados ao Ministério da Saúde, ao Ministério do Trabalho e ao Ministério da Previdência Social.",14
"Alcance da expressão ""folha de salários"", para fins de instituição de contribuição social sobre o total das remunerações.",20
"Reserva de lei complementar para instituir requisitos à concessão de imunidade tributária às entidades beneficentes de assistência social",32
"Inclusão do salário-maternidade na base de cálculo da Contribuição Previdenciária incidente sobre a remuneração",72
"Teto da renda mensal dos benefícios previdenciários concedidos anteriormente à vigência das Emendas Constitucionais n s 20/98 e 41/2003",76
"Inclusão do ISS na base de cálculo do PIS e da COFINS",118
"Contribuição previdenciária sobre o terço constitucional de férias, a gratificação natalina, os serviços extraordinários, o adicional noturno e o adicional de insalubridade",163
"Discussão acerca da exibilidade do depósito prévio para o conhecimento dos embargos apresentados pelo curador especial.",182
"a) Inclusão do ICMS em sua própria base de cálculo; b) Emprego da taxa SELIC para fins tributários; c) Natureza de multa moratória fixada em 20% do valor do tributo",214
"Questiona-se a forma de interpretação e o alcance da expressão serviços hospitalares, prevista no artigo 15, - 1 , inciso III, alínea ""a"", da Lei 9.429/95, para fins de recolhimento do IRPJ e da CSLL com base em alíquotas reduzidas.",217
"a) Fornecimento de informações sobre movimentações financeiras ao Fisco sem autorização judicial, nos termos do art. 6  da Lei Complementar n  105/2001; b) Aplicação retroativa da Lei n  10.174/2001 para apuração de créditos tributários referentes a exercícios anteriores ao de sua vigência.",225
"Questão referente à possibilidade ou não de capitalização de juros mensais em contratos bancários, especialmente após a entrada em vigor do art. 5° da Medida Provisória n. 2170-36/2001.",247
"Questão referente à natureza do rol de moléstias graves constante do art. 6 , XIV, da Lei 7.713/88 - se taxativa ou exemplificativa -, de modo a possibilitar, ou não, a concessão de isenção de imposto de renda a aposentados portadores de outras doenças graves e incuráveis.",250
"Direito de filha de ex-servidor, solteira e maior de 21 anos, receber pensão",271
"Provas obtidas mediante invasão de domicílio por policiais sem mandado de busca e apreensão",280
"Aumento de vencimentos e extensão de vantagens e gratificações pelo Poder Judiciário e pela Administração Pública",315
"Obrigatoriedade de fundamentação das decisões judiciais",339
"Enquadramento de pessoas jurídicas da área de saúde na qualidade de prestadoras de serviço hospitalar para fins de obtenção do benefício de recolhimento da Contribuição Social sobre o Lucro líquido (CSLL) e do Imposto de Renda de Pessoa Jurídica (IRPJ) com base de cálculo reduzida",353
"Incidência do teto constitucional remuneratório sobre o montante decorrente da acumulação de proventos e pensão",359
"a) Exigibilidade do PIS e da COFINS sobre as receitas financeiras das instituições financeiras; b) Exigência de reserva de plenário para as situações em que se afasta a incidência do disposto no art. 3 , -- 5  e 6 , da Lei n  9.718/1998",372
"Incorporação de quintos decorrentes do exercício de funções comissionadas e/ou gratificadas",395
"Discussão acerca do cabimento de honorários advocatícios em fase de cumprimento de sentença, bem como na sua impugnação, de acordo com a sistemática processual introduzida pela Lei n  11.232/05.",408
"Extensão da imunidade tributária recíproca às empresas públicas prestadoras de serviços públicos",412
"Indeferimento de produção de provas no âmbito de processo judicial.",424
"Restituição de valores pagos indevidamente pela Administração Pública a beneficiário de boa-fé",425
"Imunidade tributária das entidades filantrópicas em relação à contribuição para o PIS",432
"Direito adquirido de servidores públicos estaduais aposentados à permanência em determinada classe, não obstante o advento de lei estadual que, ao promover a reclassificação de cargos, reenquadra-os em classe inferior",439
"Questiona a prescrição para o redirecionamento da Execução Fiscal, no prazo de cinco anos, contados da citação da pessoa jurídica.",444
"Obrigatoriedade de o Tribunal de Contas da União - TCU observar os princípios do contraditório e da ampla defesa no exame da legalidade de atos concessivos de aposentadorias, reformas e pensões, após o decurso do prazo de cinco anos",445
"Possibilidade, ou não, de convocação, após conclusão do curso, de estudante de medicina dispensado do serviço militar obrigatório por excesso de contingente.",449
"Requisitos legais para enquadramento de pessoa jurídica como entidade beneficente de assistência social para fins de imunidade tributária",459
"Questiona se a complementação de aposentadoria ou pensão de ex-ferroviário deveria, em razão do princípio tempus regit actum, observar a legislação previdenciária aplicável à concessão do benefício - art. 41 do Decreto 83.080/79, que estabelecia que a importância da pensão devida ao conjunto dos dependentes do segurado seria constituída de uma parcela familiar, igual a 50% do valor da aposentadoria que o segurado percebida ou daquela a que teria direito se na data do seu falecimento fosse aposentado, e mais tantas parcelas de 10% para cada dependente segurado, até o máximo de 5 (cinco) parcelas.",473
"Discute-se a incidência de contribuição previdenciária sobre os valores pagos a título de aviso prévio indenizado.",478
"Discute-se a incidência de contribuição previdenciária sobre os valores pagos a título de terço constitucional de férias.",479
"Discute-se o foro competente para a liquidação individual de sentença proferida em ação civil pública.",480
"Demanda relativa à necessidade, ou não, nos termos da legislação vigente, da atuação de farmacêutico em dispensário de medicamentos, mantido por clínica e/ou unidades hospitalares, negou provimento ao recurso de apelação do recorrente.",483
"Discute a possibilidade de aplicação imediata da Lei 11.960/09, que veio alterar o critério de cálculo dos juros moratórios devidos pela Fazenda Pública previsto no artigo 1 -F da Lei 9.494/97, às ações ajuizadas antes de sua vigência.",491
"Discute-se a possibilidade de aplicação imediata da Lei 11.960/09, que veio alterar o critério de cálculo dos juros moratórios devidos pela Fazenda Pública previsto no artigo 1 -F da Lei 9.494/97, às ações ajuizadas antes de sua vigência.",492
"Servidor Público Federal. Exercício de função comissionada. Incorporação de ""quintos"". VPNI. Medida Provisória 2.225-45/2001.",503
"Discute-se a possibilidade de exclusão da base de cálculo do Imposto de Renda da Pessoa Jurídica - IRPJ e da Contribuição Social sobre o Lucro Líquido - CSLL dos valores referentes aos juros pela taxa SELIC incidentes quando da devolução dos depósitos judiciais, na forma da Lei n. 9.703/98.",504
"Discussão sobre a exclusão dos juros SELIC incidentes quando da devolução de valores em depósito judicial feito na forma da lei n. 9.703/98 e quando da repetição de indébito tributário.",505
"Possibilidade de concubinato de longa duração gerar efeitos previdenciários",526
"Discute-se o prazo prescricional para se postular a incorporação de quintos (ou décimos) entre abril de 1998 e setembro de 2001.",529
"Discute-se a possibilidade de devolução ao Erário de valores recebidos de boa-fé pelo servidor público, quando pagos indevidamente pela Administração.",531
"Discute-se a possibilidade de configuração do trabalho exposto ao agente perigoso eletricidade, exercido após a vigência do Decreto 2.172/1997, como atividade especial, para fins do artigo 57 da Lei 8.213/1991.",534
"A vexata quaestio , desta feita, cinge-se ao direito de trabalhadora gestante ao gozo de licença-maternidade e à estabilidade provisória, independentemente do regime jurídico aplicável, se contratual ou administrativo, à luz dos artigos 7 , XVIII, da Constituição Federal e 10, II, b , do Ato das Disposições Constitucionais Transitórias.",542
"Discute a aplicação da decadência prevista no art. 103 da Lei 8.213/1991, com a redacao dada pela MP 1.523/1997, sobre o direito do segurado de revisar benefício concedido antes da publicação deste último preceito legal.",544
"Discute-se a possibilidade de conversão de tempo de serviço especial em comum, e viceversa, no período anterior à vigência da Lei 6.887/1980, que alterou a Lei 5.890/1973 (art. 9 , - 4 ).",546
"Fixação de alíquota da contribuição ao SAT a partir de parâmetros estabelecidos por regulamentação do Conselho Nacional de Previdência Social.",554
"Discute-se a possibilidade de cumular auxílio-acidente com aposentadoria, diante do art. 86, - 3 , da Lei 8.213/91, com a redacao dada pela Medida Provisória 1.596-14/97 (D.O.U. 11.11.1997), posteriormente convertida na Lei n. 9.528/97.",555
"Discute-se a possibilidade de cumular auxílio-acidente com aposentadoria, diante do art. 86, - 3 , da Lei 8.213/91, com a redacao dada pela Medida Provisória 1.596-14/97 (D.O.U. 11.11.1997), posteriormente convertida na Lei n. 9.528/97.",556
"Discute-se a sistemática para a contagem da prescrição intercorrente (prescrição após a propositura da ação) prevista no art. 40 e parágrafos da Lei da Execução Fiscal (Lei n. 6.830/80): Se o prazo de 1 (um) ano de suspensão somado aos outros 5 (cinco) anos de arquivamento pode ser contado em 6 (seis) anos por inteiro para fins de decretar a prescrição intercorrente.",567
"Discute-se a sistemática para a contagem da prescrição intercorrente (prescrição após a propositura da ação) prevista no art. 40 e parágrafos da Lei da Execução Fiscal (Lei n. 6.830/80): quais são os obstáculos ao curso do prazo prescricional da prescrição prevista no art. 40, da LEF.",568
"Discute-se a sistemática para a contagem da prescrição intercorrente (prescrição após a propositura da ação) prevista no art. 40 e parágrafos da Lei da Execução Fiscal (Lei n. 6.830/80): se a ausência de intimação da Fazenda Pública quanto ao despacho que determina a suspensão da execução fiscal (art. 40, - 1 ) ilide a decretação da prescrição intercorrente.",569
"Discute-se a sistemática para a contagem da prescrição intercorrente (prescrição após a propositura da ação) prevista no art. 40 e parágrafos da Lei da Execução Fiscal (Lei n. 6.830/80): se a ausência de intimação da Fazenda Pública quanto ao despacho que determina o arquivamento da execução (art. 40, - 2 ) ilide a decretação da prescrição intercorrente.",570
"Discute-se a sistemática para a contagem da prescrição intercorrente (prescrição após a propositura da ação) prevista no art. 40 e parágrafos da Lei da Execução Fiscal (Lei n. 6.830/80): se a ausência de intimação da Fazenda Pública quanto ao despacho que determina sua manifestação antes da decisão que decreta a prescrição intercorrente (art. 40, - 4 ) ilide a decretação da prescrição intercorrente.",571
"Revisão de renda mensal de benefício previdenciário mediante aplicação dos mesmos índices utilizados para reajuste do teto do salário-de-contribuição, relativamente aos meses de junho de 1999 e maio de 2004.",589
"O feito em que se busca a concessão de benefício previdenciário deve ser extinto sem julgamento do mérito, por falta de interesse processual, sempre que não houver prévio requerimento ou comunicação desse pedido ao INSS na via administrativa.",660
"Possibilidade de prorrogações sucessivas do prazo de autorização judicial para interceptação telefônica",661
"Imprescritibilidade das ações de ressarcimento por danos causados ao erário, ainda que o prejuízo não decorra de ato de improbidade administrativa",666
"Declaração de inconstitucionalidade de norma prevista em resolução do Comitê Gestor do Programa de Recuperação Fiscal - que regulamentou a forma de notificação de contribuinte sobre sua exclusão do Refis - após julgamento do Supremo Tribunal Federal que concluiu pela natureza infraconstitucional da controvérsia",668
"Incidência do PIS e da COFINS sobre a receita advinda da locação de bens móveis.",684
"Questiona se deve o litigante beneficiário do Regime Geral da Previdência Social - RGPS devolver os valores percebidos do INSS em virtude de decisão judicial precária, que venha a ser posteriormente revogada. (03/09/2013)

Proposta de Revisão de Entendimento firmado em tese repetitiva firmada pela Primeira Seção relativa ao Tema 692/STJ, quanto à devolução dos valores recebidos pelo litigante beneficiário do Regime Geral da Previdência Social - RGPS em virtude de decisão judicial precária, que venha a ser posteriormente revogada. (03/12/2018)",692
"Questão referente à possibilidade de reconhecimento de tempo especial por exposição ao agente ruído em nível inferior a 90dB no período compreendido entre 5.3.1997 e 18.11.2003, por força da aplicação retroativa do limite de 85dB estipulado pelo Decreto 4.882/2003 ao Anexo IV do Decreto 3.048/1999.",694
"Limites do Poder Judiciário para determinar obrigações de fazer ao Estado, consistentes na realização de concursos públicos, contratação de servidores e execução de obras que atendam o direito social da saúde, ao qual a Constituição da República garante especial proteção.",698
"Incidência do Imposto de Renda Retido na Fonte sobre as receitas decorrentes das aplicações financeiras dos fundos fechados de previdência complementar e da Contribuição Social sobre o Lucro Líquido sobre os resultados apurados pelos referidos fundos.",699
"Constitucionalidade da incidência do Imposto sobre Serviços de Qualquer Natureza (ISSQN) sobre a atividade de exploração de jogos e apostas - tais como a venda de bilhetes, de pules ou de cupons de apostas - e a validade da base de cálculo utilizada.",700
"A falência da empresa executada fora decretada antes do ajuizamento da execução fiscal;  a discussão é sobre a <b>legitimidade passiva da sociedade</b> e incidência, ou não, da Súmula 392/STJ.",702
"Recurso extraordinário em que se discute, à luz dos arts. 5º, XIII; 7º, XXXIII, e 201, § 1º, da Constituição federal, a constitucionalidade do § 8º do art. 57 da Lei 8.213/1991, que veda a percepção do benefício da aposentadoria especial pelo segurado que continuar exercendo atividade ou operação nociva à saúde ou à integridade física. [-]",709
"Discussão: concessão do benefício de pensão por morte a menor sob guarda.",732
"Discute-se a incidência de contribuição previdenciária sobre os valores pagos a título de adicional de férias relativo às férias indenizadas.",737
"Incidência de contribuição previdenciária sobre os valores pagos pelo empregador ao empregado nos primeiros quinze dias de auxílio-doença",738
"Discute-se a incidência de contribuição previdenciária (a cargo da empresa) sobre os valores pagos a título de salário maternidade.",739
"Discute-se a incidência de contribuição previdenciária (a cargo da empresa) sobre os valores pagos a título de salário paternidade.",740
"Definição a respeito: i) da necessidade de esgotamento das diligências como pré- requisito para a penhora do faturamento; ii) da equiparação da penhora de faturamento à constrição preferencial sobre dinheiro, constituindo ou não medida excepcional no âmbito dos processos regidos pela Lei 6.830/1980; e iii) da caracterização da penhora do faturamento como medida que implica violação do princípio da menor onerosidade.",769
"Legalidade do protesto da CDA, no regime da Lei 9.492/1997.",777
"Natureza jurídica de direitos: se individuais homogêneos ou heterogêneos.",861
"Limites da multa fiscal qualificada em razão de sonegação, fraude ou conluio, tendo em vista a vedação constitucional ao efeito confiscatório.",863
"Constitucionalidade do parágrafo único do art. 73 da Lei 9.430/1996, com a redacao dada pela Lei 12.844/2013, que prevê a possibilidade de o Fisco, aproveitando o ensejo da restituição ou do ressarcimento de tributos administrados pela Secretaria da Receita Federal do Brasil, proceder à compensação, de ofício, com débitos não parcelados ou parcelados sem garantia.",874
"Efeitos das decisões do Supremo Tribunal Federal em controle difuso de constitucionalidade sobre a coisa julgada formada nas relações tributárias de trato continuado.",885
"Direito de servidores públicos abrangidos pela aposentadoria especial ao abono de permanência.",888
"Ofensa ao princípio da inafastabilidade de jurisdição na hipótese em que há óbice processual intransponível ao julgamento de mérito.",895
"Prescritibilidade da pretensão de ressarcimento ao erário em face de agentes públicos por ato de improbidade administrativa.",897
"Prescritibilidade da pretensão de ressarcimento ao erário fundada em decisão de Tribunal de Contas.",899
"Violação ao princípio da isonomia (art. 150, II, da Constituição Federal) ante a incidência de IPI no momento do desembaraço aduaneiro de produto industrializado, assim como na sua saída do estabelecimento importador para comercialização no mercado interno.",906
"Constitucionalidade da Contribuição de Intervenção no Domínio Econômico - CIDE sobre remessas ao exterior, instituída pela Lei 10.168/2000, posteriormente alterada pela Lei 10.332/2001.",914
"Os benefícios concedidos entre 5.10.1988 e 5.4.1991 não estão, em tese, excluídos da possibilidade de readequação aos tetos instituídos pelas Emendas Constitucionais ns. 20/1998 e 41/2003. Eventual direito a diferenças deve ser aferido no caso concreto, conforme os parâmetros já definidos no julgamento do RE n. 564.354.",930
"Legitimidade do não associado para a execução da sentença proferida em ação civil pública manejada por associação na condição de substituta processual.",948
"Discute-se a possibilidade de fixação de honorários advocatícios, em exceção de pré-executividade, quando o sócio é excluído do polo passivo da execução fiscal, que não é extinta.",961
"Discute-se a possibilidade de redirecionamento da execução fiscal contra o sócio que, apesar de exercer a gerência da empresa devedora à época do fato tributário, dela regularmente se afastou, sem dar causa, portanto, à posterior dissolução irregular da sociedade empresária.",962
"Incidência ou não do prazo decadencial previsto no caput do artigo 103 da Lei 8.213/1991 para reconhecimento de direito adquirido ao benefício previdenciário mais vantajoso.",966
"Análise acerca da aplicabilidade da Súmula 345 do STJ diante da superveniência do art. 85, - 7 , do CPC/2015.",973
"Possibilidade de compartilhamento com o Ministério Público, para fins penais, dos dados bancários e fiscais do contribuinte, obtidos pela Receita Federal no legítimo exercício de seu dever de fiscalizar, sem autorização prévia do Poder Judiciário.",990
"Discute-se, à luz do art. 114, inc. I, da Constituição da República, a competência para processar e julgar controvérsias nas quais se pleiteiam questões afetas à fase pré-contratual de seleção e de admissão de pessoal e eventual nulidade do certame, em face de pessoa jurídica de direito privado",992
"Possibilidade de inclusão do ICMS na base de cálculo da Contribuição Previdenciária sobre a Receita Bruta, instituída pela MP n. 540/2011, convertida na Lei n. 12.546/2011.",994
